country_code,region,county,taxJurisdiction,createdAt,createdBy,modifiedAt,modifiedBy,config_ID,config_tableName
US,WA,CHALLAM,5309000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,WA,CHELAN,5307000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,WA,CLARK,5311000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,WA,COWLITZ,5315000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,WA,DOUGLAS,5317000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,WA,GARFIELD,5323000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,WA,KITSAP,5335000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,WA,SKAGIT,5357000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,WA,SNOHOMISH,5361000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,WA,SPOKANE,5363000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,WA,THURSTON,5367000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,WA,WHATCOM,5373000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,WA,WHITMAN,5375000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
