paymentTerm,netPaymentTerm,modifiedAt,modifiedBy,createdAt,createdBy,config_ID,config_tableName
6190,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6195,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6200,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6205,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6210,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6215,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6220,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6225,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6230,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6235,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6240,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6245,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6250,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6255,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6260,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6265,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6270,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6275,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6500,N065,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6505,N065,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7500,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7505,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7510,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7515,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7520,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7525,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7530,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7535,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7540,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7545,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7550,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7555,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7560,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7565,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7570,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7575,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7580,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7585,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7590,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7595,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7600,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7605,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7610,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7615,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7620,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7625,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7630,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7635,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7640,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7645,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7650,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7655,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7660,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7665,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7670,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7675,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7680,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7685,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7690,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7695,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7700,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7705,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7710,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7715,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7720,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7725,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7730,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7735,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7740,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
7745,N075,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
